10
100 1050
71 99 4
72 87 2
72 89 8
73 77 4
73 87 6
73 89 10
74 75 3
74 76 6
74 79 2
74 91 -9
74 92 3
74 99 8
75 94 2
75 96 2
76 84 1
76 85 1
76 87 9
76 89 7
76 90 9
76 94 7
76 99 9
77 82 8
77 84 4
77 90 2
77 94 3
77 99 -9
78 91 -6
78 93 7
79 81 -6
79 88 2
79 90 4
79 95 8
79 97 4
80 82 10
80 87 10
80 96 9
81 98 10
82 83 5
82 87 2
82 89 10
82 96 1
82 97 2
83 91 6
83 96 8
83 97 9
83 98 6
84 95 10
85 94 8
85 95 7
85 99 7
86 94 9
87 90 1
87 92 3
87 97 10
88 91 8
89 98 4
90 94 7
90 96 1
90 97 3
90 98 7
91 95 3
92 95 4
93 94 8
93 97 3
94 95 3
94 97 7
96 98 10
97 98 5
98 99 1
100 1050
0 1 9
0 2 6
0 10 10
0 17 3
0 18 10
0 19 8
0 25 2
0 36 6
0 37 10
0 38 3
0 44 4
0 46 3
0 47 8
0 50 9
0 54 6
0 55 1
0 57 6
0 58 8
0 65 4
0 67 -2
0 68 8
0 74 8
0 78 3
0 80 3
0 82 -5
0 90 2
0 93 9
1 3 5
1 8 4
1 13 8
1 20 8
1 27 2
1 29 6
1 36 3
1 39 3
1 50 4
1 54 1
1 56 1
1 58 3
1 65 3
1 66 9
1 68 6
1 73 4
1 81 10
1 95 3
2 8 2
2 14 9
2 19 10
2 31 9
2 38 2
2 43 2
2 53 1
2 54 6
2 58 9
2 67 8
2 75 8
2 93 4
3 5 6
3 10 10
3 15 5
3 19 4
3 28 4
3 43 9
3 48 1
3 58 2
3 71 4
3 72 9
3 76 9
3 78 3
3 81 6
3 92 8
3 93 8
3 96 3
4 11 -9
4 12 3
4 14 1
4 15 6
4 23 2
4 25 2
4 28 8
4 29 6
4 38 2
4 49 2
4 50 7
4 66 7
4 68 9
4 78 2
4 84 10
4 96 8
5 6 7
5 14 10
5 18 2
5 36 -6
5 37 6
5 38 5
5 43 -1
5 44 8
5 50 3
5 51 4
5 52 6
5 53 6
5 55 8
5 68 6
5 72 1
5 81 4
5 82 1
5 84 1
5 92 4
6 8 10
6 17 5
6 18 7
6 20 -9
6 36 9
6 41 -7
6 51 1
6 62 -9
6 68 -7
6 79 9
6 82 4
6 83 7
6 90 7
6 91 10
6 93 2
6 95 2
6 98 2
7 9 2
7 11 -1
7 16 -6
7 17 1
7 22 2
7 24 5
7 26 10
7 27 1
7 29 2
7 30 5
7 40 9
7 43 8
7 50 10
7 56 2
7 62 2
7 66 3
7 77 5
7 87 4
7 88 5
7 96 8
7 98 8
8 10 9
8 13 2
8 18 3
8 19 7
8 27 9
8 30 4
8 32 -1
8 44 2
8 46 1
8 52 4
8 60 2
8 66 8
8 74 9
8 80 10
8 90 4
8 92 6
8 99 7
9 16 2
9 17 2
9 26 7
9 27 3
9 28 9
9 33 8
9 36 3
9 40 9
9 41 1
9 51 6
9 54 2
9 55 10
9 63 9
9 64 4
9 76 1
9 77 6
9 81 2
9 82 1
9 87 9
9 88 8
9 90 10
9 92 4
10 20 2
10 23 10
10 24 5
10 27 3
10 40 6
10 47 4
10 52 9
10 55 9
10 56 10
10 77 6
10 80 10
10 81 9
10 82 5
11 12 5
11 16 8
11 17 2
11 19 2
11 22 4
11 25 10
11 27 3
11 44 6
11 47 1
11 59 3
11 65 10
11 70 5
11 83 5
11 97 6
12 13 1
12 14 -7
12 18 7
12 21 9
12 22 8
12 28 8
12 36 9
12 37 9
12 44 5
12 47 1
12 49 3
12 50 4
12 56 7
12 59 6
12 61 6
12 64 9
12 65 2
12 79 10
12 82 6
12 89 5
12 97 9
13 17 -1
13 18 2
13 26 6
13 33 2
13 40 4
13 43 2
13 45 2
13 49 6
13 50 5
13 54 6
13 59 6
13 66 6
13 73 1
13 85 9
13 87 4
13 90 5
14 15 10
14 20 9
14 32 1
14 38 1
14 44 5
14 46 1
14 49 9
14 52 4
14 58 1
14 62 9
14 74 2
14 80 -3
14 86 10
14 89 4
14 94 4
14 98 10
15 21 8
15 27 4
15 31 3
15 41 -9
15 43 6
15 47 7
15 49 2
15 55 1
15 67 9
15 73 9
15 75 8
15 77 6
15 84 8
15 85 5
15 86 4
15 88 9
15 94 2
15 98 4
16 17 1
16 19 9
16 28 2
16 30 4
16 32 7
16 33 5
16 38 8
16 47 9
16 49 1
16 58 1
16 59 3
16 69 5
16 71 1
16 72 3
16 75 3
16 77 3
16 80 3
16 82 4
16 86 -6
16 91 9
16 93 -6
16 95 1
16 97 7
17 22 8
17 26 3
17 28 1
17 36 -9
17 39 8
17 50 7
17 52 2
17 70 2
17 73 3
17 88 10
17 95 6
17 97 10
18 22 4
18 32 8
18 34 1
18 44 7
18 51 10
18 55 -1
18 60 1
18 66 6
18 70 1
18 77 -2
18 79 4
18 80 9
18 86 4
18 91 2
18 96 7
18 97 7
18 99 2
19 28 5
19 31 3
19 32 6
19 33 1
19 34 7
19 40 8
19 51 4
19 55 2
19 63 5
19 65 7
19 69 5
19 77 6
19 78 5
19 79 1
19 82 3
19 83 2
19 87 1
19 89 3
20 23 6
20 24 2
20 27 3
20 30 9
20 31 4
20 32 7
20 33 6
20 35 1
20 36 7
20 38 5
20 40 1
20 42 6
20 43 8
20 49 10
20 55 1
20 60 4
20 66 10
20 68 5
20 78 8
20 79 10
20 81 5
20 86 3
20 90 6
20 97 2
20 99 9
21 25 10
21 26 5
21 27 1
21 28 6
21 31 2
21 40 5
21 54 10
21 57 7
21 58 5
21 61 4
21 62 8
21 66 10
21 72 7
21 83 3
21 84 5
21 87 3
21 93 3
22 33 10
22 35 9
22 36 6
22 38 3
22 40 7
22 46 5
22 47 5
22 48 4
22 52 6
22 55 2
22 56 6
22 58 9
22 59 8
22 64 5
22 68 7
22 69 1
22 70 5
22 81 10
22 82 7
22 97 4
23 25 3
23 30 3
23 31 9
23 32 9
23 34 9
23 41 10
23 50 3
23 53 7
23 58 7
23 59 4
23 61 7
23 62 4
23 66 3
23 70 2
23 78 4
23 81 3
23 88 3
23 91 3
23 96 2
23 98 4
24 26 4
24 28 2
24 29 1
24 31 9
24 32 4
24 40 4
24 43 10
24 46 9
24 58 7
24 59 10
24 60 9
24 64 5
24 66 5
24 67 -4
24 73 4
24 77 9
24 81 9
24 84 3
24 86 8
24 89 6
24 94 4
24 99 7
25 29 1
25 36 9
25 39 5
25 43 3
25 47 9
25 51 2
25 53 8
25 56 -3
25 57 2
25 61 1
25 64 -1
25 65 3
25 66 5
25 68 -1
25 70 8
25 74 5
25 77 1
25 78 1
25 80 9
25 92 9
25 93 4
26 33 5
26 34 4
26 38 1
26 43 7
26 44 -4
26 56 2
26 57 2
26 61 5
26 62 3
26 64 6
26 66 10
26 73 1
26 76 4
26 77 2
26 80 4
26 85 7
26 87 10
26 93 4
27 31 10
27 34 10
27 38 -2
27 40 2
27 42 2
27 71 -5
27 82 9
27 84 10
27 94 8
27 95 8
28 33 3
28 38 5
28 43 1
28 44 8
28 55 4
28 56 3
28 62 2
28 66 8
28 67 10
28 71 3
28 72 -9
29 31 9
29 32 10
29 35 9
29 36 -6
29 40 6
29 41 8
29 50 8
29 59 7
29 77 10
29 78 1
29 79 7
29 85 7
29 93 1
29 95 1
30 41 4
30 42 6
30 43 1
30 53 6
30 54 8
30 56 6
30 59 3
30 69 8
30 72 9
30 73 5
30 83 5
30 89 8
30 94 1
30 95 5
30 97 6
30 98 9
30 99 4
31 33 2
31 40 5
31 45 4
31 49 6
31 64 10
31 65 5
31 72 1
31 76 8
31 77 1
31 79 6
31 83 9
31 91 2
32 34 3
32 42 3
32 44 1
32 50 2
32 57 6
32 67 5
32 78 4
32 91 10
32 94 1
32 95 9
33 37 3
33 43 8
33 62 2
33 70 8
33 72 10
33 75 3
33 77 1
33 82 3
33 86 2
34 35 9
34 37 1
34 38 10
34 40 10
34 47 6
34 49 1
34 51 7
34 54 10
34 55 8
34 57 6
34 59 5
34 66 5
34 72 1
34 74 10
34 79 8
34 86 3
34 90 3
34 91 9
35 40 5
35 47 1
35 49 6
35 57 9
35 66 2
35 68 8
35 79 4
35 86 1
35 87 3
35 88 2
35 93 3
35 94 4
36 39 8
36 42 4
36 52 10
36 69 1
36 72 8
36 73 2
36 78 4
36 82 3
37 40 3
37 55 5
37 56 10
37 58 4
37 61 7
37 65 6
37 67 4
37 72 4
37 74 9
37 75 9
37 77 1
37 92 9
38 40 8
38 43 9
38 44 7
38 45 5
38 47 7
38 48 3
38 52 2
38 54 3
38 56 7
38 63 5
38 64 4
38 68 8
38 70 7
38 74 1
38 78 2
38 80 5
38 83 1
38 85 6
38 86 -7
38 91 9
39 40 2
39 42 1
39 47 3
39 50 5
39 53 5
39 54 6
39 59 6
39 61 1
39 62 9
39 65 6
39 66 6
39 69 2
39 72 3
39 73 9
39 77 4
39 80 -2
39 85 8
39 91 6
39 93 4
40 61 10
40 63 -1
40 68 5
40 69 4
40 76 6
40 80 3
40 85 3
40 93 9
41 43 1
41 44 5
41 53 3
41 65 6
41 66 9
41 74 5
41 79 1
41 80 2
41 83 5
41 87 6
41 90 8
41 91 1
41 98 4
42 50 9
42 53 9
42 54 4
42 56 1
42 58 10
42 63 8
42 65 10
42 66 10
42 67 6
42 69 6
42 74 6
42 76 2
42 81 2
42 96 1
43 44 3
43 50 7
43 59 1
43 64 4
43 66 4
43 70 10
43 79 1
43 86 9
43 87 8
43 88 10
43 94 7
43 99 2
44 56 10
44 60 6
44 62 2
44 66 9
44 71 10
44 76 9
44 78 10
44 92 6
44 93 7
44 94 10
44 97 10
45 48 10
45 61 6
45 65 7
45 73 9
45 74 9
45 79 8
45 83 10
45 94 1
45 97 2
46 49 10
46 61 10
46 62 5
46 67 4
46 68 5
46 69 -1
46 70 2
46 75 7
46 80 6
46 84 8
46 87 3
46 91 1
47 48 5
47 57 2
47 58 8
47 73 6
47 75 8
47 76 10
47 77 2
47 79 4
47 82 1
47 99 8
48 49 10
48 50 5
48 57 5
48 60 3
48 65 6
48 73 5
48 75 6
48 84 2
48 86 4
48 88 3
48 93 6
48 99 1
49 52 4
49 56 10
49 62 5
49 64 2
49 71 10
49 78 1
49 89 2
50 56 7
50 58 4
50 61 2
50 63 9
50 64 6
50 67 -7
50 70 7
50 72 8
50 80 4
50 83 -1
50 86 2
50 87 5
50 88 5
50 93 2
50 94 7
50 95 7
50 99 10
51 52 3
51 57 2
51 62 1
51 66 8
51 69 1
51 73 4
51 79 7
51 91 6
51 92 -8
51 97 4
51 99 3
52 53 6
52 55 6
52 57 1
52 60 8
52 63 8
52 69 1
52 70 6
52 78 3
52 79 9
52 91 1
52 94 8
52 98 10
52 99 -2
53 54 5
53 60 5
53 62 9
53 65 5
53 70 1
53 71 1
53 73 5
53 97 6
54 57 9
54 59 1
54 66 7
54 67 2
54 69 6
54 76 3
54 82 8
54 85 6
54 92 10
54 97 -3
54 99 2
55 63 10
55 87 -10
55 91 9
55 94 10
55 95 1
55 98 4
55 99 5
56 58 7
56 59 2
56 60 4
56 64 4
56 68 2
56 70 8
56 75 1
56 82 5
56 94 1
57 59 2
57 67 10
57 69 10
57 79 6
57 82 2
57 84 10
57 88 6
57 89 7
57 94 9
58 68 7
58 74 9
58 75 3
58 79 4
58 81 5
58 87 3
58 90 6
58 97 8
58 98 -8
58 99 9
59 69 9
59 76 6
59 83 3
59 84 7
59 86 4
59 87 8
59 88 1
59 89 5
59 90 -4
59 94 3
60 74 10
60 79 6
60 83 6
60 93 8
60 94 2
61 69 7
61 73 8
61 80 3
61 81 4
61 90 1
61 94 4
61 99 10
62 63 9
62 64 8
62 65 2
62 71 2
62 72 1
62 75 10
62 99 1
63 65 5
63 66 6
63 72 6
63 73 8
63 74 8
63 76 7
63 80 4
63 88 10
63 92 10
63 95 4
63 98 5
64 72 1
64 75 5
64 80 9
64 81 5
64 88 4
64 91 10
64 92 3
64 97 7
65 66 7
65 68 -1
65 70 5
65 71 2
65 74 5
65 75 1
65 77 9
65 81 10
65 89 -1
65 99 6
66 68 -7
66 78 4
66 80 6
66 82 5
66 87 8
66 88 10
66 96 10
67 68 6
67 69 7
67 70 10
67 73 5
67 74 2
67 92 5
67 95 10
68 72 10
68 74 10
68 77 9
68 79 10
68 82 4
68 84 3
68 90 6
68 98 10
69 73 3
69 82 1
69 86 9
69 91 2
69 94 1
69 96 -2
69 97 2
69 99 4
70 74 2
70 85 8
71 73 1
71 74 10
71 75 1
71 76 1
71 80 7
71 82 1
71 98 10
72 74 7
72 76 8
72 79 3
72 91 1
72 97 9
73 83 5
73 90 8
73 91 3
73 93 1
73 95 8
73 97 7
74 78 3
74 84 9
74 88 9
74 90 1
74 91 10
74 92 4
74 95 4
74 96 6
75 78 4
75 82 5
75 94 -6
75 95 9
75 98 7
76 77 8
76 82 3
76 89 2
76 90 1
76 95 9
77 88 -2
77 89 6
77 90 7
78 87 10
78 90 4
78 94 3
79 83 5
79 85 8
79 89 5
79 92 1
79 95 5
79 97 7
80 82 6
80 91 4
80 93 -5
80 94 9
81 83 9
81 84 7
81 88 7
81 90 2
81 91 2
82 84 3
82 91 5
82 95 3
82 96 2
83 84 4
83 91 6
83 97 2
83 99 6
84 93 9
84 94 3
85 86 2
85 90 -4
85 93 5
85 98 8
85 99 6
86 96 9
86 97 1
87 93 5
88 93 8
89 94 10
89 96 3
90 95 9
91 98 8
91 99 7
92 95 7
94 97 5
94 98 9
95 98 4
95 99 1
97 98 5
97 99 6
98 99 7
100 1050
0 1 5
0 3 4
0 4 8
0 6 10
0 13 3
0 16 -5
0 17 3
0 20 7
0 22 9
0 24 8
0 25 8
0 30 10
0 38 3
0 42 3
0 45 3
0 52 4
0 54 8
0 55 7
0 57 -3
0 59 7
0 63 5
0 66 9
0 70 7
0 77 1
0 80 -1
0 81 10
0 83 7
0 86 6
0 87 2
0 89 3
0 92 1
1 4 9
1 7 10
1 13 9
1 15 9
1 17 8
1 20 5
1 28 10
1 32 4
1 35 4
1 48 8
1 55 4
1 59 7
1 68 2
1 69 4
1 76 6
1 77 1
1 79 1
1 86 9
1 95 6
1 96 7
2 3 3
2 16 5
2 19 7
2 20 6
2 21 10
2 22 1
2 24 9
2 30 3
2 33 10
2 38 6
2 40 7
2 43 3
2 54 6
2 64 6
2 70 8
2 80 6
2 81 5
2 88 4
2 90 -6
3 4 3
3 5 6
3 7 4
3 8 5
3 9 10
3 17 7
3 19 8
3 20 8
3 21 1
3 27 10
3 32 -6
3 33 3
3 37 5
3 42 6
3 43 8
3 57 6
3 61 5
3 68 2
3 72 6
3 73 6
3 79 3
3 81 6
3 83 6
3 88 4
3 97 6
4 5 3
4 6 2
4 7 2
4 9 7
4 17 8
4 21 8
4 24 5
4 26 5
4 28 5
4 32 6
4 39 5
4 40 9
4 44 8
4 51 5
4 52 1
4 62 9
4 67 2
4 70 9
4 82 7
4 85 4
4 86 7
5 7 5
5 17 7
5 21 4
5 26 7
5 27 10
5 30 7
5 33 9
5 40 3
5 45 7
5 48 4
5 52 6
5 56 7
5 57 8
5 59 1
5 62 3
5 63 7
5 64 3
5 70 -9
5 71 4
5 79 1
5 80 4
5 88 1
5 97 5
6 11 -1
6 12 2
6 14 1
6 19 5
6 28 3
6 33 7
6 36 8
6 40 8
6 44 9
6 49 8
6 51 4
6 56 -4
6 57 2
6 60 9
6 61 3
6 67 1
6 74 2
6 75 -3
6 79 5
6 81 2
6 84 5
6 89 1
6 97 5
6 99 1
7 24 -7
7 33 9
7 52 5
7 55 7
7 56 3
7 76 1
7 80 7
7 82 5
7 85 8
7 88 3
7 93 8
8 11 5
8 12 2
8 13 8
8 17 2
8 22 3
8 24 8
8 30 4
8 35 5
8 36 2
8 41 1
8 43 5
8 47 2
8 49 6
8 52 3
8 60 8
8 64 9
8 65 3
8 66 4
8 70 7
8 78 10
8 79 -6
8 82 10
9 10 7
9 21 10
9 23 6
9 24 7
9 28 3
9 30 7
9 32 7
9 35 9
9 37 1
9 41 -9
9 49 6
9 53 5
9 56 1
9 58 4
